"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"PARRILLA RESTAURANTE E BAR - EIRELLI - ME";"PARRILLA RESTAURANTE";"08.032.334/0001-59";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74223050;"GO";"Goiânia";"Setor Bueno";"RUA T 36 N 2.218 QD. 112-A LT. 03 SETOR BUENO";"(62) 3241-0216";"(62) 3278-3966";"ricardo@parrillarestaurante.com.br";"";"";"22/10/2015";"22/10/2017";"09.038059.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";0;"("""")"
"PASCHOAL & CATARINO LTDA - ME";"PASCHOAL CONVENIENCIA";"20.530.510/0001-88";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";79750000;"MS";"Nova Andradina";"Nova Andradina";"RUA SETE DE SETEMBRO, 696";"(67) 9946-3878";"";"administrativo@agenciagenese.com.br";"";"";"11/12/2014";"11/12/2016";"12.068072.15.0001-3";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";10;"(""Nenhuma das Opções"")"
"PASCOAL E ALMEIDA LTDA - ME";"PASCOAL E ALMEIDA LTDA - ME";"21.567.958/0001-39";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";78049400;"MT";"Cuiabá";"CONDOMÍNIO FLORAIS CUIABÁ RESIDENCIAL";"AV DAS FLORES, Nº 335, QUADRA 04, SALA 3B";"(65) 9998-1559";"";"eu_barros@hotmail.com";"";"";"06/03/2015";"06/03/2017";"13.069470.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;"(""Nenhuma das Opções"")"
"PASSINI & CARMO RESTAURANTE LTDA-ME";"CASA FOGO";"11.083.287/0001-87";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";23970000;"RJ";"Parati";"Parati";"RUA COMENDADOR JOSÉ LUIZ, 390";"(24) 99903-4987";"";"bistro@casadofogo.com.br";"";"";"23/06/2015";"23/06/2017";"19.071693.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;"(""Francês,Inglês,Espanhol"")"
"PASTELARIA JR LTDA - ME";"PASTEL D' OURO";"03.372.718/0001-05";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79002330;"MS";"Campo Grande";"Centro";"R. 14 DE JULHO, 1689";"(67) 3028-7926";"";"pastelariajr@hotmail.com";"";"";"29/05/2015";"29/05/2017";"12.071161.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(""Nenhuma das Opções"")"
"PASTELARIA MASSAS MARIA LTDA - ME";"PASTELARIA MASSAS MARIA";"16.640.020/0001-67";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79600030;"MS";"Três Lagoas";"Centro";"AV. ROSARIO CONGRO, 681";"(67) 3522-5605";"";"contato@officinaprojetos.com.br";"";"";"17/09/2015";"17/09/2017";"12.073556.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";72;"(""Nenhuma das Opções"")"
"PATRICIA VALENÇA DE VASCONCELOS RESTAURANTE-ME";"RESTAURANTE VASCONCELOS S";"18.210.015/0001-40";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";50100080;"PE";"Recife";"Santo Amaro";"RUA DR CARLOS CHAGAS,N °135";"(81) 3423-7906";"(81) 8349-1885";"info@vasconcelosrestaurante.com";"";"";"05/03/2015";"05/03/2017";"16.069426.15.0001-4";"5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";85;"(Inglês)"
"PAUA RESTAURANTE LTDA - ME";"PAUA RESTAURANTE E HOSPEDAGEM";"17.376.845/0001-89";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";59178000;"RN";"Tibau do Sul";"Tibau do Sul";"AV. BAIA DOS GOLFINHOS, 1751 - PRAIA DE PIPA";"(84) 3246-2575";"";"araufla@gmail.com";"";"wwwpauapipa.com.br";"22/07/2014";"22/07/2016";"20.064959.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL (Secundário)";30;"(Inglês)"
"PAULA DA SILVA GARCIA - ME";"BATATARIA PIZZARIA E EVENTOS CUMURU";"62.076.344/0001-31";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";45983000;"BA";"Cumuruxatiba (Prado)";"Cumuruxatiba";"RUA TREZE DE MAIO, 72";"(73) 3573-1421";"(73) 8822-7257";"paulasgarcia_70@hotmail.com";"";"";"28/05/2015";"28/05/2017";"05.040107.15.0001-1";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";20;"(""Nenhuma das Opções"")"
"PAULA KELLE SILVA FERREIRA";"KAEELI GELATERIA ARTESANAL";"17.419.603/0001-25";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";75690000;"GO";"Caldas Novas";"Caldas Novas";"E CEL CIRILO S/N QD 05 LT 9 CENTRO";"(64) 3453-3994";"";"paulakelle.e@hotmail.com";"";"";"20/08/2014";"20/08/2016";"09.065684.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";70;"(""Nenhuma das Opções"")"
"PAULA KELLE SILVA FERREIRA & CIA LTDA-ME";"KAEELI GELATERIA ARTESANAL";"10.271.761/0001-31";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";75690000;"GO";"Caldas Novas";"Caldas Novas";"AV STO AMARO SN QD:9 LT:10 SOLAR DE CALDAS";"(64) 3455-9636";"";"kaelli@hotmail.com";"";"";"20/08/2014";"20/08/2016";"09.065686.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";56;"(""Nenhuma das Opções"")"
"PAULA MITSUE ARIKITA";"ITY RESTAURANTE";"19.769.634/0001-31";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";73850000;"GO";"Cristalina";"Cristalina";"RUA II S/N LT:07 QD: 51 SETOR NOROESTE";"(61) 8151-9061";"";"arikita_tur@yahoo.com.br";"";"";"08/10/2015";"08/10/2017";"09.074170.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"(""Nenhuma das Opções"")"
"PAULO HENRIQUE COSTA DE ASSIS";"DI FRATELLI";"15.088.389/0001-46";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";75805112;"GO";"Jataí";"Setor Planalto";"RUA JOSÉ GEDA, 1288";"(64) 3632-6750";"";"phpower1@hotmail.com";"";"www.facebook.com/difratellipizzaria";"23/07/2014";"23/07/2016";"09.064990.15.0001-4";"5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Primário)";190;"(""Nenhuma das Opções"")"
"PAVAN FAST GRILL LTDA - EPP";"PAVAN FAST GRILL";"03.461.374/0001-00";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";87013040;"PR";"Maringá";"Zona 01";"AVENIDA SÃO PAULO, 458 LOJA B 2A";"(44) 3266-1500";"(44) 3266-1500";"genirpavan@hotmail.com";"pavanfinanceiro@hotmail.com";"";"13/10/2015";"13/10/2017";"18.074250.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";400;"(""Nenhuma das Opções"")"
"PBG RESTAURANTE LTDA - EPP";"RESTAURANTE 209 SUL";"20.058.922/0001-67";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70272510;"DF";"Brasília";"Asa Sul";"SHC/SUL CL QD 209 BL A LJ 37 PARTE A ";"(61) 8161-1359";"61";"paulobenite@gmail.com";"";"";"07/10/2014";"07/10/2016";"07.066705.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";40;"("""")"
"PE 001 - COMERCIO LTDA - EPP";"JULIETTO";"05.834.943/0001-33";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";54410100;"PE";"Jaboatão dos Guararapes";"Piedade";"AV BARRETO DE MENEZES, 800 SL DE USO COML NO 121";"(81) 3302-5996";"";"julietto@julietto.com.br";"";"www.julietto.com.br";"15/01/2015";"15/01/2017";"16.038965.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Nenhuma das Opções"")"
"PEDACINHO DA UEL LTDA - ME";"PEDACINHO DA UEL LTDA - ME";"11.196.806/0001-13";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";35450000;"MG";"Itabirito";"Itabirito";"PRACA DOUTOR GUILHERME 215";"(31) 8751-3958";"(31) 8751-3958";"fielaguia@bol.com.br";"";"";"14/06/2016";"14/06/2018";"11.079172.15.0001-5";"5611-2/03-CALDO DE CANA; SERVIÇO DE ALIMENTAÇÃO (Secundário)";20;"(""Nenhuma das Opções"")"
"PEDRINI E VENTURINI LTDA - EPP";"CASA DO CUPIM";"18.181.761/0001-52";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79040260;"MS";"Campo Grande";"Vila Manoel da Costa Lima";"RUA ODILA CABRAL TAVARES Nº 18";"(67) 3222-2111";"(67) 3383-1057";"cristianoparmezan@gmail.com";"";"www.casadocupim.com.br";"22/09/2015";"22/09/2017";"12.073671.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";400;"(Inglês)"
"PEDRO FRANCISCO DOS SANTOS ME";"PEDRINHO LANCHES";"14.561.101/0001-46";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";49540000;"SE";"Nossa Senhora Aparecida";"Nossa Senhora Aparecida";"AV. ABDON JOSÉ BARRETO Nº 715 BAIRRO CENTRO";"(79) 3483-1241";"(79) 9939-9789";"gil.celda@hotmail.com";"";"";"18/07/2014";"18/07/2016";"25.064889.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";100;"(""Nenhuma das Opções"")"
"PEDRO RICARDO B. HAEFLIGER - ME";"RESTAURANTE BELLA VISIONE";"24.565.264/0001-50";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95185000;"RS";"Carlos Barbosa";"Carlos Barbosa";"R CECÍLIA MEIRELES  64  BELA VISTA";"(54) 3461-2339";"";"simonebhaefliger@yahoo.com.br";"";"";"30/05/2016";"30/05/2018";"23.078818.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";144;"(""Inglês,Espanhol"")"
"PEDRO SOARES DE SANTANA - ME";"RESTAURANTE CHEIRO VERDE";"11.614.818/0001-10";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78175000;"MT";"Poconé";"Poconé";"PRAÇA BEM RONDON, S/N°";"(65) 3345-3005";"";"simonnemoraes@hotmail.com";"";"";"27/10/2015";"27/10/2017";"13.074631.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";45;"(""Nenhuma das Opções"")"
"PEDROLINA CORREA ME";"LANCHONETE E RESTAURANTE VISTA DA SERRA";"11.784.158/0001-16";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78460000;"MT";"Nobres";"Nobres";"ROD MT 241, KM 65, DISTRITO BOM JARDIM";"(65) 9628-0014";"(65) 9918-8160";"restaurantevistadaserra@hotmail.com";"";"";"12/08/2015";"12/08/2017";"13.053907.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;"(""Nenhuma das Opções"")"
"PERCIVAL BRUMATTI";"IMPERADOR DOS CAMARÔES-PRAIA";"69.998.045/0001-01";"Sociedade Empresária";"20/12/1993";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";57030170;"AL";"Maceió";"Pajuçara";"AV. DR. ANTÔNIO GOUVEIA, 21";"(82) 3231-8274";"";"contato@imperadordoscamaroes.com.br";"";"";"26/07/2016";"26/07/2018";"02.030688.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"("""")"
"PEROLAS DO SABOR RESTAURANTE LTDA-ME";"PEROLAR DO SABOR";"08.060.669/0001-80";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74825040;"GO";"Goiânia";"Setor Pedro Ludovico";"AL COUTO MAGALHAES  844 SETOR PEDRO LUDOVICO";"(62) 3093-8435";"";"peroladosabor@yahoo.com.br";"";"";"22/04/2015";"22/04/2017";"09.070372.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";300;"(Inglês)"
"PESQUE CHICO TURISMO E LAZER LTDA - ME";"PESQUE CHICO";"04.760.751/0001-67";"Sociedade Empresária";"15/11/2001";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";37472000;"MG";"Carmo de Minas";"Carmo de Minas";"RUA DA BOMBA, S/N - PALMELA / ZONA RURAL";"(35) 3332-6393";"";"neisa@vilachico.com.br";"";"WWW.VILACHICO.COM.BR";"07/10/2014";"07/10/2016";"11.033904.15.0001-7";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário)";40;"(Inglês)"
"PETIT BISTRO LTDA - ME";"PETIT BISTRO";"15.060.755/0001-59";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";68925000;"AP";"Santana";"Santana";"AV. PRINCESA IZABEL, 1106 A ";"(96) 99194-7119";"";"petit.bistro12@hotmail.com";"";"";"06/06/2016";"06/06/2018";"04.050691.15.0001-4";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";50;"(Francês)"
"PFP RESTAURANTE LTDA - EPP";"BIOMA RESTAURANTE";"21.432.130/0001-73";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70232525;"DF";"Brasília";"Asa Sul";"ST CLS 202 BLOCO B S/N  LOJA 34";"(61) 3352-1011";"";"pdrctn@gmail.com";"";"";"03/03/2015";"03/03/2017";"07.069370.15.0001-8";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";40;"(Espanhol)"
"PG COMÉRCIO DE ALIMENTOS LTDA - EPP";"JULIETTO";"18.630.782/0001-08";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";55024740;"PE";"Caruaru";"Indianópolis";"AVENIDA ADJAR DA SILVA CASE N° 800 MUC 71";"(81) 3302-5996";"";"julietto@julietto.com.br";"";"";"15/01/2015";"15/01/2017";"16.068589.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Nenhuma das Opções"")"
"PICANHA DO COWBOY LTDA - ME";"PICANHA DO COWBOY";"00.079.570/0001-19";"Sociedade Empresária";"27/07/1994";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";60160230;"CE";"Fortaleza";"Meireles";"AV. DOM LUÍS,685 LOJA 1 E 2";"(85) 3267-1863";"(85) 3267-1863";"ossian@picanhadocowboy.com.br";"";"WWW.PICANHADOCOWBOY.COM.BR";"02/06/2015";"02/06/2017";"06.036567.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"("""")"
"PILÃO BAR E RESTAURANTE LTDA-ME";"PILÃO ENSEADA";"05.914.380/0001-93";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29050256;"ES";"Vitória";"Enseada do Suá";"AV: NOSSA SENHORA DOS NAVEGANTES 7  , LJ 03";"(27) 3315-5650";"";"pilaoenseada@hotmail.com";"";"";"20/10/2015";"20/10/2017";"08.074440.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";250;"(""Nenhuma das Opções"")"
"PINATOS COMERCIO E SERVIÇOS LTDA. ME";"PINATOS HOTEL";"08.248.433/0001-72";"Sociedade Empresária";"25/09/2006";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";73770000;"GO";"Alto Paraíso de Goiás";"Alto Paraíso de Goiás";"AV. ENGENHEIRO ARY RIBEIRO VALADAO FILHO 610, CENTRO";"(62) 3446-1778";"";"pinatos.hotel@terra.com.br";"advjacauna@hotmail.com";"";"14/07/2015";"14/07/2017";"09.029414.15.0001-3";"5510-8/01-HOTEL (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";15;"(""Nenhuma das Opções"")"
"PINHO & PINHO LTDA - ME";"CABANA CHURRASCARIA";"53.467.577/0001-74";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";13690000;"SP";"Descalvado";"Descalvado";"RUA JOSE BONIFÁCIO, 470-A";"(19) 3583-1165";"";"espacocabana@espacocabana.com.br";"";"";"21/07/2015";"21/07/2017";"26.053296.15.0001-8";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário), 5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";160;"(Inglês)"
"PIRES & MONTEIRO LTDA ME";"COLONIAL";"18.764.347/0001-76";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";75701010;"GO";"Catalão";"Setor Central";"AV. 20 DE AGOSTO N 1267 ";"(62) 3411-4053";"";"alber2007@globomail.com";"";"";"14/08/2014";"14/08/2016";"09.065542.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";70;"(""Nenhuma das Opções"")"
"PIZZA DA VILLA LTDA-EPP";"PIZZA DA VILLA";"19.912.475/0001-82";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";27580000;"RJ";"Itatiaia";"Itatiaia";"AV. BRASIL, 566";"(24) 3351-2165";"";"macjimenez-4@hotmail.com";"";"";"28/04/2015";"28/04/2017";"19.070489.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;"(Espanhol)"
"PIZZANELLI EVENTOS LTDA ME";"JC EVENTOS";"09.130.239/0001-50";"Sociedade Empresária";"11/08/2008";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";88015720;"SC";"Florianópolis";"Centro";"RUA FORTE SANTANA, 405";"(48) 3225-3138";"(48) 3225-3138";"scunabar@terra.com.br";"";"www.pier54.com.br";"09/09/2014";"09/09/2016";"24.034021.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";240;"(""Inglês,Espanhol"")"
"PIZZARIA  PARMA  LTDA-EPP";"MISTER  PIZZA";"05.279.091/0001-60";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29100450;"ES";"Vila Velha";"Centro";"AV.CARIOCA, 353 L 220 C, PRAIA DA COSTA.";"(27) 3399-9167";"(27) 3399-9167";"misterpizza_@hotmail.com";"";"";"11/12/2014";"11/12/2016";"08.043948.15.0001-7";"5611-2/03-PIZZARIA (TIPO FAST-FOOD); SERVIÇO DE ALIMENTAÇÃO (Primário)";0;"("""")"
"PIZZARIA CAPRI LTDA -ME";"MISTER PIZZA";"10.470.600/0001-77";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29055460;"ES";"Vitória";"Praia do Canto";"RUA JOAQUIM LÍRIO, 671";"(27) 3024-2091";"";"misterpizza_@gmail.com";"";"";"11/12/2014";"11/12/2016";"08.042545.15.0001-9";"5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/03-SORVETERIA; SERVIÇO DE ALIMENTAÇÃO (Secundário)";;"("""")"
"PIZZARIA CHEGA MAIS";"PIZZARIA E LANCHONETE CHEGA MAIS";"16.883.347/0001-60";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";65590000;"MA";"Barreirinhas";"Barreirinhas";"AV CARNAUBAL, Nº 220 - CARNAUBAL";"(98) 8734-0614";"";"ocionesantos25@gmail.com";"";"";"24/05/2016";"24/05/2018";"10.078757.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";56;"(""Nenhuma das Opções"")"
"PIZZARIA CONGRESSO LTDA - ME";"UNIVERSIDADE DA PIZZA";"18.642.404/0001-44";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";79824010;"MS";"Dourados";"Jardim Tropical";"RUA BALBINA DE MATOS, 2120";"(67) 3426-3459";"";"aldomakert@hotmail.com";"";"";"27/08/2014";"27/08/2016";"12.065830.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";96;"(""Nenhuma das Opções"")"
"PIZZARIA D'AMPEZZO LTDA-EPP";"FARINELLA";"39.275.789/0003-90";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29107900;"ES";"Vila Velha";"Divino Espírito Santo";"RUA LUCIANO DAS NEVES, Nº2418, LJ 2091,  PISO L2";"(27) 3200-3940";"";"vilavelha@farinella.com.br";"";"";"11/12/2014";"11/12/2016";"08.043946.15.0003-7";"5611-2/03-SORVETERIA; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";40;"(""Nenhuma das Opções"")"
"PIZZARIA D'AMPEZZO LTDA-EPP";"MISTER PIZZA";"39.275.789/0001-29";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29050420;"ES";"Vitória";"Enseada do Suá";"AV AMÉRICO BUAIZ , 200,LJ 265";"(27) 3324-3114";"";"misterpizza_@hotmail.com";"";"";"11/12/2014";"11/12/2016";"08.043945.15.0001-5";"5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";0;"("""")"
"PIZZARIA DA MAMA LTDA EPP";"PIZZARIA DA MAMA";"03.943.439/0001-46";"Sociedade Empresária";"05/07/2000";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";79601110;"MS";"Três Lagoas";"Centro";"RUA ALFREDO JUSTINO, 737";"(67) 3521-2966";"(67) 3521-2966";"dp.escritoriouniao@hotmail.com";"dpuniaoesc@terra.com.br";"";"16/10/2014";"16/10/2016";"12.032003.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";468;"(""Nenhuma das Opções"")"
"PIZZARIA DONANA LTDA - ME";"PIZZARIA DONANA";"21.180.060/0001-03";"Sociedade Empresária";"27/07/2005";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";79331010;"MS";"Corumbá";"Dom Bosco";"RUA MAJOR GAMA, 549";"(67) 3231-1798";"(67) 3231-8635";"magl.40@hotmail.com";"";"";"15/06/2015";"15/06/2017";"12.071493.15.0001-7";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";84;"(""Nenhuma das Opções"")"
"PIZZARIA E RESTAURANTE EL-SHADAY LTDA";"PIZZARIA E RSTAURANTE EL-SHADAY LTDA";"04.946.990/0001-06";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74560540;"GO";"Goiânia";"Setor Centro Oeste";"AV MARECHAL RONDON 761 QD 06 LT 22";"(62) 3210-9856";"";"milsoelshaday@hotmail.com";"";"";"27/08/2014";"27/08/2016";"09.046094.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";150;"(""Nenhuma das Opções"")"
"PIZZARIA E SORVETERIA ÁGUA NA BOCA";"PIZZARIA E SORVETERIA ÁGUA NA BOCA";"63.598.056/0001-00";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69908620;"AC";"Rio Branco";"Bosque";"AV.NAÇÕES  UNIDAS-646-BOSQUE";"(68) 3224-7475";"";"aguanabocadelivery@hotmail.com";"";"www.aguanabocadelivery.com.br/";"25/07/2016";"25/07/2018";"01.048498.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";280;"(""Nenhuma das Opções"")"
"PIZZARIA FORNO DIPEDRA LTDA";"PIZZARIA FORNO DIPEDRA";"10.799.384/0001-08";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74474310;"GO";"Goiânia";"Residencial Recanto do Bosque";"AV. GOIÁS N. 12807 QD 09 LT 14";"(62) 3517-3496";"(62) 8592-5023";"brazilivan@msn.com";"";"";"28/10/2015";"28/10/2017";"09.040778.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Inglês,Italiano,Espanhol"")"
