"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"LINGUAS";"QUANTIDADE"
SET 2013 - SERVICO ESPECIAL DE TRANSPORTES LTDA - ME;MAD TRANSPORTES;"18.594.707/0001-39";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;26.280.530;RJ;Nova Iguaçu;Comendador Soares;RUA BELMIRA LEDO, Nº 42, GP;(21) 96452-9516;;elianearaujoseguros@gmail.com;;;"19.069274.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Inglês;0
BUSCAR LOCADORA DE VEICULOS LTDA - ME;BUSCAR LOCADORA DE VEICULOS;"21.391.191/0001-30";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;88.138.420;SC;Palhoça;Praia de Fora;R ANTONIO JULIO FAGUNDES, 37, LT 84;(48) 8401-8699;;contato@buscarlocadora.com.br;;;"24.081563.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Inglês;0
HORA SERVIÇOS EMPRESARIAIS LTDA;HORA;"17.202.575/0001-90";Sociedade Empresária;"02/01/1990";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.005.180;MT;Cuiabá;Centro Norte;RUA VOLUNTÁRIOS DA PÁTRIA, 350, SL 09;(65) 3023-7034;;marcopinheiro@uol.com.br;;;"13.069518.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol ,Italiano ,Francês ,Inglês;0
RODOVIAS TRANSPORTES E SERVIÇOS LTDA-EPP;RODOVIAS TRANSPORTES E SERVIÇOS;"11.608.125/0001-15";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;45.020.550;BA;Vitória da Conquista;Exposição;AV. BRUMADO, 616,S/103, 1ºANDAR, ED. MANOEL ROQUE;(77) 3424-2654;;nalciba@hotmail.com;;;"05.077437.85.0001-7";"4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Primário), 7711-0/00-LOCADORA DE AUTOS (Secundário)";Inglês;0
JOSÉ ILSON FORTES;LOCADORA FORTES;"41.532.169/0001-70";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;64.051.200;PI;Teresina;Fátima;AV. DOM SEVERINO Nº 2600;(86) 3232-1630;;joseilsonfortes@gmail.com;;;"17.081412.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
KMON SERVIÇOS DE TRANSPORTE DE PASSAGEIROS LTDA - ME;KMON TRANSPORTE REPTIVO E EXECUTIVO;"11.745.252/0002-47";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;22.250.040;RJ;Rio de Janeiro;Botafogo;PRAIA DE BOTAFOGO, N° 501 - BLC 1 SALA 101;(21) 2548-8012;;mariana@kmontransportes.com.br;;;"19.045177.85.0002-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Francês ,Inglês;0
JN GOMES DE SOUZA LOCADORA-ME;JC LOCADORA DE VEÍCULOS;"17.991.540/0001-87";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;56.308.000;PE;Petrolina;Gercino Coelho;AVENIDA CORONEL ANTONIO HONORATO VIANA;(81) 98812-9601;;josenilton@zeniltonautomaveis.com.br;;;"16.077137.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
NITIDA LOCADORA DE VEICULOS LTDA - ME;TRANSNITIDA;"02.220.172/0001-04";Sociedade Empresária;"19/11/2009";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.506.282;SP;Rio Claro/SP;Residencial Florença;"RUA 13 RF; N° 121";(19) 3527-4064;;con@transnitida.com.br;;www.clubeturismo.com.br/saocarlos;"26.054035.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Inglês;0
LINDOMAR AMADO DA CUNHA - EPP;TRANSPORTADORA LINDOMAR;"08.032.052/0001-51";Empresário Individual (Não MEI);;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;89.229.352;SC;Joinville;Fátima;RUA ALBERTO OSCAR RAVACHE,17;(47) 8853-6649;(47) 3801-1861;lindo_cunha@hotmail.com;;;"24.077391.85.0001-6";"4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário), 7711-0/00-LOCADORA DE CARROS (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Nenhuma das Opções;0
R BORTOLINI LOCADORA DE VEÍCULOS -ME;R  BORTOLINI LOCADORA DE VEÍCULOS;"17.339.278/0001-90";Microempreendedor Individual (MEI);;Mei;Em Operação;Locadora de Veículos;Aluguel de Veículos;29.165.130;ES;Serra;Laranjeiras;AV: ELDES SCHERRER SOUZA ,497, 2º ANDAR.;(27) 99915-8276;;rubensbortolini@hotmail.com;;;"08.071914.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7711-0/00-LOCADORA DE AUTOS (Secundário), 7711-0/00-LOCADORA DE CARROS (Secundário)";Nenhuma das Opções;0
NATOUR TURISMO EIRELI - ME;NATOUR TURISMO;"20.330.504/0001-87";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.070.030;MT;Cuiabá;Jardim Petrópolis;RUA JUSCELINO REINNERS, 245, BLOCO B, APTO 202;(65) 99660-0681;;fernandobuttura@gmail.com;;;"13.065041.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
JAA GAMA LOCADORA DE VEÍCULOS EIRELI;JAA GAMA LOCADORA DE VEÍCULOS EIRELI;"20.344.955/0001-73";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;23.027.460;RJ;Rio de Janeiro;Guaratiba;ESTRADA PEDRA, 8688;(21) 2417-1182;;didosenna@ig.com.br;;;"19.073824.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";;0
SMART LOCAÇÕES E SERVIÇOS EIRELI - ME;SMART LOCAÇÕES;"18.561.264/0001-80";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;60.170.172;CE;Fortaleza;Dionisio Torres;AV. DESEMBARGADOR MOREIRA, 2760 SL03;(85) 3535-6559;;wtargino@hotmail.com;;;"06.076496.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
CLASSE A TRANSPORTES EXECUTIVOS E SERVICOS LTDA - ME;CLASSE A TRANSPORTES EXECUTIVOS E SERVICOS LTDA - ME;"05.117.165/0001-61";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.733.160;SP;Mococa;Jardim São Domingos;R DR ALCINDO DE FIGUEREDO, 548;(19) 3656-3707;;classe.a.transp@hotmail.com;;;"26.081237.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
ANTONIO PINHEIRO DE SOUZA - ME;SOUZA CAR;"02.803.885/0001-92";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;95.840.000;RS;Triunfo;Triunfo;R BERNARDINO SENA 147;(51) 8149-0710;(51) 3654-1374;souzacartfrs@hotmail.com;;;"23.076781.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
FMM AUTOMOVEIS LTDA;LOCALIZA RENT A CAR;"19.427.540/0001-84";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;39.804.000;MG;Teófilo Otoni;Jardim das Acácias;AVENIDA ALFREDO SA 2015;(33) 3523-5484;(33) 3523-7347;karina.silva@sistemalocaliza.com;macelo.marinho@sistemalocaliza.com;;"11.062163.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
FAC PEDROSO E CIA LTDA - ME;FAC TRANSPORTES;"07.848.860/0001-29";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;85.027.140;PR;Guarapuava;Vila Bela;RUA DR MÁRIO AUGUSTO TEIXEIRA DE FREITAS;(42) 3623-1230;(42) 3623-1230;fabio_schimitur@yahoo.com.br;helennmspedroso@hotmail.com;;"18.079754.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
L & M SERVICOS AUTOMOTIVOS LTDA. - ME;L & M SERVICOS AUTOMOTIVOS LTDA. - ME;"03.250.113/0001-33";Sociedade Simples;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;88.047.402;SC;Florianópolis;Carianos;AV DEPUTADO DIOMÍCIO FREITAS, 3050;(48) 3035-4040;;osvaldo@lemauto.com.br;;;"24.081580.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Inglês;0
ALDO BALERINI - ME;ALDO BALERINI - ME;"26.541.636/0001-34";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.290.000;MS;Bonito;Bonito;RUA NOVA JERUSALEM Nº 652;(67) 99919-3347;(67) 3255-1164;escrita@asteccontabil.com;contabilidade@asteccontabil.com;;"12.082511.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
PARK LOC SERVIÇOS LTDA - ME;LOC MAIS;"17.002.176/0001-85";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;36.015.000;MG;Juiz de Fora;Centro;SANTO ANTONIO 163;(32) 3217-7700;(32) 3217-7700;rafael@locmaisjf.com.br;pedro@locmaisjf.com.br;www.locmaisjf.com.br;"11.074517.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7912-1/00-ORGANIZADORES DE VIAGEM; SERVIÇOS DE (Secundário), 4929-9/02-ALUGUEL DE AUTOMÓVEIS COM CONDUTOR, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Secundário), 4923-0/02-ALUGUEL DE AUTOMÓVEIS COM CONDUTOR, MUNICIPAL (Secundário), 4929-9/04-ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, INTERMUNICIPAL (Secundário)";Espanhol ,Inglês;0
T L COMERCIO DE VEICULOS LTDA-ME;TADEU AUTOMOVEIS;"09.578.909/0001-04";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;60.170.002;CE;Fortaleza;Aldeota;AV DESEMBARGADOR MOREIRA, Nº 2620;(85) 3244-6994;;wtargino@ibest.com.br;;;"06.074779.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
GALO FRETAMENTO & LOCADORA LTDA - ME;GALO TRANSPORTE SEMPRE PENSANDO EM VOCE;"05.279.616/0001-67";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;18.120.000;SP;Mairinque;Mairinque;"RUA ALFREDO E.G. BERTOLINI; N° 402 ";(11) 4708-7411;;mtlassessoriacontabil@gmail.com;;;"26.077485.85.0001-8";"7711-0/00-LOCADORA DE AUTOS (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário)";Nenhuma das Opções;0
A. GONÇALVES LAND'S LOCADORA DE VEÍCULOS-ME;LAND'S LOCADORA;"16.590.256/0001-36";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;29.102.730;ES;Vila Velha;Boa Vista I;RUA MACHADO DE ASSIS - BOA VISTA I;(27) 99847-5371;(27) 3340-4900;landslocadora@yahoo.com.br;;;"08.079905.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
TREML & TAMELINI LTDA - ME;AFONSO VEICULOS;"97.544.830/0001-11";Sociedade Simples;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;83.880.000;PR;Rio Negro;Rio Negro;RUA XV DE NOVEMBRO, 514 CENTRO;(47) 3642-3536;(47) 3642-3536;artreml@hotmail.com;;;"18.076906.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";;0
ROMANA TURISMO LTDA;ROMANA TURISMO;"38.010.351/0001-56";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;72.640.008;DF;Recanto das Emas;Recanto das Emas;Q ADE QD. 600 CONJ. 08 LOTE 04;(61) 3024-3942;;contato@romanaturismo.com;;www.romanaturismo.com;"07.068878.85.0001-6";"4929-9/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 7911-2/00-TURISMO; AGÊNCIA DE (Secundário)";Inglês;0
LOCA MINAS LOCADORA DE VEICULOS LTDA - ME;LOCA MINAS LOCADORA;"11.297.442/0001-68";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.502.180;SP;Rio Claro/SP;Jardim Residencial das Palmeiras;RUA 13 JP, 700;(19) 3523-5459;;prfpereira@yahoo.com.br;;;"26.071909.85.0001-6";"4929-9/02-ALUGUEL DE AUTOMÓVEIS COM CONDUTOR, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
ELTON CAVALHEIRO DE ALMEIDA - TRANSPORTES - ME;ON LINE TRANSPORTES;"18.911.857/0001-29";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.290.000;MS;Bonito;Bonito;RUA CEL. NELSON FELÍCIO DOS SANTOS, 934 - CENTRO;(67) 9905-7619;(67) 8446-5017;alternativa_contabilidade@hotmail.com;;;"12.057823.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol ,Inglês;0
LEVA'S LOCADORA DE VANS EXECUTIVAS LTDA - ME;LEVA'S LOCADORA DE VANS EXECUTIVAS;"13.260.791/0001-30";Sociedade Simples;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;7.251.150;SP;Guarulhos;Água Chata;RUA JOSE FREITAS, 47 B;(11) 4962-0178;(11) 4962-0178;levaslocadora@gmail.com;;www.levaslocadora.com.br;"26.069589.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7711-0/00-LOCADORA DE AUTOS (Secundário)";Nenhuma das Opções;0
WEYLA DA SILVA VITAL - ME;UNIDAS ALUGUEL DE CARROS;"07.088.185/0001-87";Empresário Individual (Não MEI);;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;47.806.180;BA;Barreiras;Boa Vista;AVENIDA AYLON MACEDO, Nº2000 SALA 114;(77) 3613-1676;;bragerencial@unidas.com.br;;;"05.077832.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
GERSINO DA SILVA DOUZA;GELTUR;"14.945.736/0001-47";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;39.100.000;MG;Diamantina;Diamantina;RUA VEREADOR ANIBAL MACHADO 9 SAOA JOAO DA CHAPADA;(38) 3534-2122;;contabilidadegilsoncosta@hotmail.com.br;;;"11.077935.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
VIAÇÃO CAMPOS VERDES LTDA - ME;CAMPOS VERDES;"14.876.241/0001-03";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.105.086;SP;Campinas;Jardim Conceição (Sousas);R JOÃO PUGGINA, 211 SALA 01;(19) 4141-8116;;contato@viacaocamposverdes.com.br;;;"26.057586.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-ALUGUEL DE AUTOMÓVEIS COM CONDUTOR, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Secundário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";Nenhuma das Opções;0
ALMIR AZEVEDO DE OLIVEIRA - ME;MARIANA TURISMO TRANSPORTE E LOCAÇÃO;"05.828.544/0001-60";Empresa Individual (EIRELI);"22/09/2003";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.076.660;RN;Natal;Lagoa Nova;RUA MINISTRO MACEDO SOARES, 1- A                            ;(84) 99985-1013;(84) 3206-9665;almirazevedo47@hotmail.com;;;"20.040603.85.0001-0";"7911-2/00-TURISMO; AGÊNCIA DE (Primário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";;1
LOCADORA SANTA EFIGENIA LTDA;LOCADORA SANTA EFIGENIA;"07.515.159/0001-98";Sociedade Empresária;"25/07/2005";Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;39.725.000;MG;Santa Efigênia de Minas;Santa Efigênia de Minas;RUA DONA NAZINHA, 90 - SALA A - CENTRO;(33) 3297-1376;;erlitur@gmail.com;;;"11.019987.85.0001-7";"7711-0/00-LOCADORA DE CARROS (Primário), 7711-0/00-LOCADORA DE AUTOS (Secundário)";Espanhol;0
F. S. KIENEM OLIVEIRA LOCADORA DE VEÍCULOS - ME;M. C. RIO LOCADORA DE VEÍCULOS;"14.685.581/0001-57";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;24.436.620;RJ;São Gonçalo;Porto da Pedra;RUA JOVITA CORREIA, N° 22;(21) 97511-6293;(21) 96625-4169;flavia.kienem@gmail.com;unitop@gmail.com;;"19.075556.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Inglês;0
SANTA FÉ TURISMO E LOCAÇÃO EIRELI - ME;SANTA FÉ LOCADORA;"24.855.409/0001-58";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;49.035.660;SE;Aracaju;Atalaia;AVENIDA MÁRIO JORGE MENEZES DE VIEIRA Nº 498 LOJA 02;(79) 99601-4400;;santafelocadoraaju@gmail.com;;;"25.081942.85.0001-2";"4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
JEAN F. DA SILVA - ME;JT LOCAÇÃO;"24.504.504/0001-07";Empresário Individual (Não MEI);"27/07/2003";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.301.001;MS;Corumbá;Centro;R. ANTONIO MARIA COELHO, 502, D;(67) 3232-3787;(67) 8413-4555;locacaojt@gmail.com;;;"12.081925.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
ALUG LOCAÇÕES LTDA;ALUG;"09.384.183/0001-60";Sociedade Simples;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;36.570.000;MG;Viçosa;Viçosa;AVENIDA SANTA RITA, 390, CENTRO;(31) 3891-5281;;diogenes.ufv@gmail.com;leonardo.sala@ufv.br;alugminas.com.br;"11.052490.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
ELLOS LOCADORA LTDA - ME;ELLOS LOCADORA LTDA - ME;"08.929.207/0001-57";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;9.111.730;SP;Santo André;Cidade São Jorge;RUA CEARA, 111 - SALA G;(11) 4543-1276;;elloslocadora@hotmail.com;;;"26.076040.85.0001-0";"4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
RONALDO LOCA-VANS LTDA ME;LOCAVANS LOCAÇÕES;"08.984.983/0001-50";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;36.061.300;MG;Juiz de Fora;Bonsucesso;RUA ACACIO PAULINO PINTO 270;(32) 3222-6741;(32) 3222-6741;contato.lercontabilidade@gmail.com;;;"11.063692.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Francês ,Inglês;0
ALEXANDRE TADEU SANTOS PACHECO - YES LOCADORA DE VANS E TURISMO - ME;YES LOCADORA DE VANS E TURISMO;"22.812.809/0001-50";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;83.508.587;PR;Almirante Tamandaré;Loteamento Marinoni;RUA TEREZA DOS SANTOS ROCHA, 165;(41) 9199-4343;;yes.turismo@yahoo.com.br;;;"18.073383.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol;0
ORIENTE COMERCIO DE VEICULOS LTDA;ORIENTE MOTORS;"16.864.205/0001-55";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.115.000;MT;Várzea Grande;Ponte Nova;AV. DA FEB, 1720;(65) 3364-6858;;oriente.veiculos@hotmail.com;;;"13.069997.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
ESTILO LOCADORA, FRETAMENTO E TURISMO LTDA;ESTILO TRANSPORTES;"03.538.324/0001-76";Sociedade Empresária;"25/11/1999";Empresa de Médio ou Grande Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;9.790.260;SP;São Bernardo do Campo;Ferrazópolis;RUA MINAS GERAIS, 284;(11) 4351-6113;;aleapathe@gmail.com;;;"26.003118.85.0001-5";"7711-0/00-LOCADORA DE AUTOS (Primário)";Nenhuma das Opções;0
PROMENAC HOTELARIA E SERVIÇOS TURISTICOS LTDA;PROMENAC HOTELARIA E SERVIÇOS TURISTICOS LTDA;"04.058.679/0003-92";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;88.305.360;SC;Itajaí;Barra do Rio;RUA EXPEDICIONARIO ALEIXO MABA, 60, SL 02;(47) 3341-9191;;promenac.locadora@promenac.com.br;;www.promenac.com.br/locadora;"24.063647.85.0003-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Italiano ,Inglês;0
FABIANE APARECIDA MENDES DA SILVA - ME;FABIANE APARECIDA MENDES DA SILVA;"13.128.702/0001-05";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;84.046.564;PR;Ponta Grossa;Colônia Dona LuÍza;RUA JOÃO BONETI DOS SANTOS, 232;(42) 3229-5456;;g3transportes@uol.com.br;;;"18.076278.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
RÁDIO TAXI ALVORADA TDA - ME;RÁDIO TAXI ALVORADA;"37.990.298/0001-34";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;70.398.900;DF;Brasília;Asa Sul;Q SCS  QD. 01 BLOCO H SALA 1202;(61) 3224-7474;(61) 3224-3030;adm@taxinamao.com.br;;;"07.068516.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Inglês;0
LOCADORA DE VEICULOS SULBRASIL LTDA-ME;LOCADORA DE VEICULOS HERTZ;"11.956.779/0001-30";Sociedade Simples;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;96.020.000;RS;Pelotas;Centro;R GENERAL  OSORIO, 1037 LJ 01;(53) 3222-7783;;administrativo2@citycarveiculos.com.br;;;"23.053423.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
LELO LOCADORA DE VEICULOS LTDA - ME;LELO LOCADORA DE VEICULOS LTDA - ME;"07.671.026/0001-00";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;18.110.380;SP;Votorantim;Parque Morumbi;AV CLAUDIO PINTO NASCIMENTO, 1265 - SALA 01;(15) 3243-2497;(15) 3023-2497;comercial@belavistacontabilidade.com.br;;;"26.082433.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
DANNIEL VIDAL DE SOUSA;MINEIRA RENT A CAR;"17.832.396/0001-36";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;60.530.050;CE;Fortaleza;Conjunto Ceará;RUA 111, Nº 12;(85) 98118-1795;;danniel_mineira@hotmail.com;;;"06.077050.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";;0
ZEN MASTER TRANSPORTES LTDA-ME;ASSIS TOUR;"06.893.049/0001-05";Sociedade Empresária;"09/08/2004";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;20.785.330;RJ;Rio de Janeiro;Del Castilho;RUA LUIZA VALE, 171 APT. 106;(21) 2201-8505;;leokorten@gmail.com;;;"19.030347.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Inglês;0
VIA MG TRANSPORTE TURISMO E LOCAÇÃO LTDA;VIA MG TRANSPORTE E TURISMO;"12.455.834/0001-70";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;36.025.040;MG;Juiz de Fora;Passos;RUA SEVERINO MEIRELES, 330 AP 903;(32) 8868-6258;;marcusviamg@hotmail.com;;;"11.069650.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário)";Nenhuma das Opções;0
